Age,Age_Coded_Bin,Gender,Gender_Coded,Country,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness,UsageOfAppsAvg,SleepDurationMinutesAvg,SDurC,SDist,SDist_SQRT,SDistC,SleepingTimeAverageWeekly,SleepingTimeWeeklyCategory,STime,WakeupTimeWeeklyAverage,WakeupTimeWeeklyCategory,WTime
25 - 34,1.0,Female,2.0,United States,3,10,9,10,6,231.65,462.56,2,5.15,2.27,1,12:14:51 AM,Poor Sleep Time,4,7:57:43 AM,Regular Wakeup,2
35 - 44,1.0,Female,2.0,United Kingdom,6,8,8,2,7,233.01,455.41,2,1.08,1.04,1,11:34:17 PM,Delayed Sleep,3,7:09:51 AM,Regular Wakeup,2
15 - 24,0.0,Female,2.0,United States,10,7,8,10,10,233.5,453.59,2,5.63,2.37,1,11:14:00 PM,Delayed Sleep,3,6:47:51 AM,Early Wakup,1
15 - 24,0.0,Female,2.0,United States,8,7,6,8,6,236.32,322.05,1,4.07,2.02,1,2:01:51 AM,Poor Sleep Time,4,7:24:09 AM,Regular Wakeup,2
25 - 34,1.0,Female,2.0,United States,3,8,4,8,9,237.78,536.22,2,0.0,0.0,0,10:09:51 PM,Regular Sleep,2,7:05:51 AM,Regular Wakeup,2
15 - 24,0.0,Female,2.0,United States,5,9,7,9,10,244.77,631.23,3,0.0,0.0,0,10:10:09 PM,Regular Sleep,2,8:41:26 AM,Delayed Wakeup,3
25 - 34,1.0,Female,2.0,France,6,10,4,2,5,245.69,349.59,1,8.34,2.89,1,1:01:17 AM,Poor Sleep Time,4,9:34:09 AM,Poor Wakeup,4
35 - 44,1.0,Female,2.0,United States,10,9,10,6,5,252.83,464.35,2,2.35,1.53,1,11:37:51 PM,Delayed Sleep,3,7:22:17 AM,Regular Wakeup,2
15 - 24,0.0,Female,2.0,United States,7,6,7,9,9,254.64,482.13,2,5.52,2.35,1,1:23:17 AM,Poor Sleep Time,4,9:25:43 AM,Poor Wakeup,4
35 - 44,1.0,Female,2.0,Canada,3,7,8,10,10,257.37,530.17,2,19.02,4.36,1,11:51:17 PM,Delayed Sleep,3,8:41:34 AM,Delayed Wakeup,3
15 - 24,0.0,Female,2.0,France,7,6,8,3,5,258.28,486.32,2,1.94,1.39,1,12:19:26 AM,Poor Sleep Time,4,8:26:00 AM,Delayed Wakeup,3
15 - 24,0.0,Female,2.0,United Kingdom,10,10,9,5,10,262.53,615.26,3,0.11,0.33,1,10:50:00 PM,Regular Sleep,2,9:05:00 AM,Poor Wakeup,4
25 - 34,1.0,Female,2.0,United States,6,4,3,9,6,264.02,317.36,1,1.28,1.13,1,2:47:26 AM,Poor Sleep Time,4,8:04:43 AM,Delayed Wakeup,3
35 - 44,1.0,Female,2.0,United States,7,4,6,9,6,264.78,462.64,2,4.98,2.23,1,10:33:26 PM,Regular Sleep,2,6:16:00 AM,Early Wakup,1
15 - 24,0.0,Female,2.0,India,3,8,4,7,8,266.25,433.05,2,0.41,0.64,1,11:14:34 PM,Delayed Sleep,3,6:28:00 AM,Early Wakup,1
25 - 34,1.0,Female,2.0,Canada,6,10,9,6,6,268.93,428.59,2,3.83,1.96,1,12:00:51 AM,Poor Sleep Time,4,7:09:34 AM,Regular Wakeup,2
15 - 24,0.0,Female,2.0,Canada,10,10,6,2,8,270.24,369.59,1,0.95,0.97,1,1:15:00 AM,Poor Sleep Time,4,7:24:26 AM,Regular Wakeup,2
35 - 44,1.0,Female,2.0,Australia,6,6,5,8,6,270.26,460.85,2,8.46,2.91,1,12:25:51 AM,Poor Sleep Time,4,8:06:51 AM,Delayed Wakeup,3
25 - 34,1.0,Female,2.0,United States,5,9,5,7,8,270.76,439.43,2,2.56,1.6,1,11:56:09 PM,Delayed Sleep,3,7:15:43 AM,Regular Wakeup,2
15 - 24,0.0,Female,2.0,Sweden,8,7,7,3,7,274.57,550.51,3,0.0,0.0,0,9:58:43 PM,Early Sleep,1,7:09:00 AM,Regular Wakeup,2
25 - 34,1.0,Female,2.0,Australia,8,4,4,6,5,277.94,501.13,2,0.31,0.56,1,11:47:51 PM,Delayed Sleep,3,8:09:09 AM,Delayed Wakeup,3
15 - 24,0.0,Female,2.0,United States,5,8,7,10,2,277.94,552.87,3,2.88,1.7,1,11:59:26 PM,Delayed Sleep,3,9:12:17 AM,Poor Wakeup,4
15 - 24,0.0,Female,2.0,India,6,5,3,6,6,280.6,389.8,1,13.88,3.73,1,12:59:51 AM,Poor Sleep Time,4,7:29:34 AM,Regular Wakeup,2
15 - 24,0.0,Female,2.0,Brazil,4,8,4,8,5,282.49,480.48,2,2.78,1.67,1,11:40:51 PM,Delayed Sleep,3,7:41:43 AM,Regular Wakeup,2
15 - 24,0.0,Female,2.0,United States,2,8,6,8,8,284.44,258.36,1,4.59,2.14,1,2:03:34 AM,Poor Sleep Time,4,6:22:00 AM,Early Wakup,1
35 - 44,1.0,Female,2.0,Canada,9,6,6,4,7,285.97,596.45,3,24.1,4.91,1,11:55:09 PM,Delayed Sleep,3,9:51:43 AM,Poor Wakeup,4
25 - 34,1.0,Female,2.0,United States,5,6,5,9,7,286.51,502.75,2,4.41,2.1,1,11:42:51 PM,Delayed Sleep,3,8:05:51 AM,Delayed Wakeup,3
15 - 24,0.0,Female,2.0,Netherlands,7,7,8,10,10,298.42,546.24,3,2.03,1.42,1,11:10:00 PM,Delayed Sleep,3,8:16:34 AM,Delayed Wakeup,3
Rather not say,3.0,Female,2.0,United Kingdom,7,8,6,10,7,299.65,625.66,3,0.0,0.0,0,9:13:43 PM,Early Sleep,1,7:39:17 AM,Regular Wakeup,2
15 - 24,0.0,Female,2.0,United States,7,8,6,9,10,301.43,450.21,2,4.83,2.2,1,11:24:34 PM,Delayed Sleep,3,6:55:00 AM,Early Wakup,1
15 - 24,0.0,Female,2.0,United States,4,9,3,7,10,303.42,478.43,2,1.88,1.37,1,11:39:00 PM,Delayed Sleep,3,7:37:34 AM,Regular Wakeup,2
15 - 24,0.0,Female,2.0,United Kingdom,2,5,6,10,9,304.94,528.26,2,0.0,0.0,0,11:36:43 PM,Delayed Sleep,3,8:25:00 AM,Delayed Wakeup,3
25 - 34,1.0,Female,2.0,Canada,9,6,8,3,7,305.99,538.26,2,6.73,2.59,1,11:52:17 PM,Delayed Sleep,3,8:50:51 AM,Delayed Wakeup,3
15 - 24,0.0,Female,2.0,United States,3,5,8,8,10,311.07,490.84,2,1.84,1.36,1,10:41:09 PM,Regular Sleep,2,6:52:09 AM,Early Wakup,1
15 - 24,0.0,Female,2.0,India,7,8,5,8,9,311.17,311.7,1,10.38,3.22,1,2:13:51 AM,Poor Sleep Time,4,7:25:26 AM,Regular Wakeup,2
15 - 24,0.0,Female,2.0,United Kingdom,8,7,3,10,8,311.62,463.99,2,0.87,0.93,1,2:06:17 AM,Poor Sleep Time,4,9:50:00 AM,Poor Wakeup,4
15 - 24,0.0,Female,2.0,Germany,7,2,8,10,7,312.01,484.69,2,0.0,0.0,0,9:50:34 PM,Early Sleep,1,5:55:26 AM,Early Wakup,1
25 - 34,1.0,Female,2.0,United States,3,7,6,9,4,314.87,422.79,2,11.68,3.42,1,12:27:26 AM,Poor Sleep Time,4,7:30:26 AM,Regular Wakeup,2
25 - 34,1.0,Female,2.0,United States,4,7,6,7,9,317.66,463.69,2,5.81,2.41,1,11:47:17 PM,Delayed Sleep,3,7:31:17 AM,Regular Wakeup,2
35 - 44,1.0,Female,2.0,United States,2,7,6,6,8,317.73,443.79,2,19.52,4.42,1,10:32:43 PM,Regular Sleep,2,5:56:43 AM,Early Wakup,1
35 - 44,1.0,Female,2.0,Canada,4,4,10,8,3,318.46,582.03,3,0.0,0.0,0,9:56:26 PM,Early Sleep,1,7:38:34 AM,Regular Wakeup,2
35 - 44,1.0,Female,2.0,France,5,5,10,9,10,318.99,435.72,2,0.29,0.54,1,11:36:34 PM,Delayed Sleep,3,6:52:34 AM,Early Wakup,1
15 - 24,0.0,Female,2.0,United Kingdom,5,5,7,6,5,320.16,460.39,2,9.14,3.02,1,12:46:17 AM,Poor Sleep Time,4,8:26:51 AM,Delayed Wakeup,3
25 - 34,1.0,Female,2.0,United Kingdom,4,6,10,3,10,320.93,455.53,2,2.77,1.66,1,11:39:26 PM,Delayed Sleep,3,7:15:09 AM,Regular Wakeup,2
25 - 34,1.0,Female,2.0,Germany,10,9,6,10,7,322.41,453.45,2,1.68,1.3,1,11:22:17 PM,Delayed Sleep,3,6:55:51 AM,Early Wakup,1
15 - 24,0.0,Female,2.0,India,3,7,3,9,10,326.14,399.28,1,0.0,0.0,0,10:42:51 PM,Regular Sleep,2,10:05:17 AM,Poor Wakeup,4
15 - 24,0.0,Female,2.0,United States,5,6,5,5,6,327.3,536.31,2,6.11,2.47,1,11:19:51 PM,Delayed Sleep,3,8:16:26 AM,Delayed Wakeup,3
25 - 34,1.0,Female,2.0,United States,6,9,5,8,9,328.15,507.36,2,6.73,2.59,1,11:05:00 PM,Delayed Sleep,3,7:32:34 AM,Regular Wakeup,2
15 - 24,0.0,Female,2.0,France,3,8,4,5,5,328.47,404.34,1,2.59,1.61,1,12:06:09 AM,Poor Sleep Time,4,6:50:43 AM,Early Wakup,1
35 - 44,1.0,Female,2.0,United States,5,6,7,6,8,333.7,449.24,2,18.41,4.29,1,11:53:17 PM,Delayed Sleep,3,7:22:34 AM,Regular Wakeup,2
25 - 34,1.0,Female,2.0,Netherlands,7,8,5,4,9,333.96,507.29,2,6.84,2.62,1,10:35:43 PM,Regular Sleep,2,7:03:09 AM,Regular Wakeup,2
25 - 34,1.0,Female,2.0,France,5,5,6,2,3,337.89,443.15,2,0.0,0.0,0,11:54:17 PM,Delayed Sleep,3,7:17:34 AM,Regular Wakeup,2
15 - 24,0.0,Female,2.0,India,6,9,5,7,9,338.57,444.5,2,21.54,4.64,1,12:50:17 AM,Poor Sleep Time,4,8:06:34 AM,Delayed Wakeup,3
35 - 44,1.0,Female,2.0,United States,10,6,6,9,10,343.7,468.39,2,0.0,0.0,0,10:43:26 PM,Regular Sleep,2,6:31:51 AM,Early Wakup,1
25 - 34,1.0,Female,2.0,Netherlands,10,8,6,8,6,344.0,494.74,2,13.72,3.7,1,11:52:43 PM,Delayed Sleep,3,8:07:43 AM,Delayed Wakeup,3
15 - 24,0.0,Female,2.0,United States,8,7,5,9,9,348.77,413.07,1,0.36,0.6,1,12:34:17 AM,Poor Sleep Time,4,7:28:00 AM,Regular Wakeup,2
15 - 24,0.0,Female,2.0,United States,8,8,2,10,8,349.04,535.54,2,11.86,3.44,1,11:20:43 PM,Delayed Sleep,3,8:16:17 AM,Delayed Wakeup,3
15 - 24,0.0,Female,2.0,Brazil,3,9,5,4,10,350.75,456.1,2,8.23,2.87,1,12:23:26 AM,Poor Sleep Time,4,7:59:26 AM,Regular Wakeup,2
15 - 24,0.0,Female,2.0,United States,5,8,6,6,10,357.04,437.17,2,11.06,3.33,1,12:12:43 AM,Poor Sleep Time,4,7:30:09 AM,Regular Wakeup,2
35 - 44,1.0,Female,2.0,Germany,7,5,7,9,8,363.63,335.7,1,0.05,0.22,1,2:14:51 AM,Poor Sleep Time,4,7:51:09 AM,Regular Wakeup,2
15 - 24,0.0,Female,2.0,Brazil,3,6,5,7,8,369.63,488.59,2,6.32,2.51,1,12:22:17 AM,Poor Sleep Time,4,8:31:09 AM,Delayed Wakeup,3
15 - 24,0.0,Female,2.0,United States,4,10,8,7,10,370.63,377.73,1,3.3,1.82,1,2:08:43 AM,Poor Sleep Time,4,8:26:17 AM,Delayed Wakeup,3
25 - 34,1.0,Female,2.0,United States,4,7,7,10,9,372.1,509.2,2,0.5,0.71,1,11:43:17 PM,Delayed Sleep,3,8:12:26 AM,Delayed Wakeup,3
35 - 44,1.0,Female,2.0,United States,3,5,6,7,9,372.84,558.45,3,2.57,1.6,1,11:29:43 PM,Delayed Sleep,3,8:48:00 AM,Delayed Wakeup,3
15 - 24,0.0,Female,2.0,United States,5,7,4,7,9,376.2,404.94,1,14.7,3.83,1,1:17:43 AM,Poor Sleep Time,4,8:03:09 AM,Delayed Wakeup,3
25 - 34,1.0,Female,2.0,United Kingdom,10,8,7,7,10,387.02,425.35,2,0.0,0.0,0,10:52:09 PM,Regular Sleep,2,5:57:09 AM,Early Wakup,1
15 - 24,0.0,Female,2.0,Germany,4,8,3,7,5,391.28,410.03,1,5.94,2.44,1,3:07:51 AM,Poor Sleep Time,4,9:57:43 AM,Poor Wakeup,4
15 - 24,0.0,Female,2.0,Brazil,5,7,7,8,8,391.31,489.46,2,5.74,2.4,1,12:01:43 AM,Poor Sleep Time,4,8:11:17 AM,Delayed Wakeup,3
25 - 34,1.0,Female,2.0,United States,6,9,8,7,8,391.41,543.79,3,13.19,3.63,1,12:26:00 AM,Poor Sleep Time,4,9:29:43 AM,Poor Wakeup,4
15 - 24,0.0,Female,2.0,Australia,6,6,4,7,6,398.57,466.59,2,0.0,0.0,0,10:03:17 PM,Regular Sleep,2,5:49:51 AM,Early Wakup,1
35 - 44,1.0,Female,2.0,United States,8,4,9,7,10,399.91,441.09,2,6.79,2.61,1,2:47:34 AM,Poor Sleep Time,4,10:09:00 AM,Poor Wakeup,4
15 - 24,0.0,Female,2.0,France,4,8,6,9,9,400.38,484.73,2,11.53,3.4,1,12:43:26 AM,Poor Sleep Time,4,8:48:17 AM,Delayed Wakeup,3
35 - 44,1.0,Female,2.0,United States,7,9,10,10,10,402.37,501.99,2,0.0,0.0,0,10:11:43 PM,Regular Sleep,2,6:33:34 AM,Early Wakup,1
25 - 34,1.0,Female,2.0,United States,6,5,7,8,10,412.62,513.08,2,10.87,3.3,1,11:47:17 PM,Delayed Sleep,3,8:20:26 AM,Delayed Wakeup,3
15 - 24,0.0,Female,2.0,Brazil,9,9,10,5,7,424.81,562.67,3,0.0,0.0,0,11:13:26 PM,Delayed Sleep,3,8:36:09 AM,Delayed Wakeup,3
35 - 44,1.0,Female,2.0,United Kingdom,6,8,8,8,7,436.88,490.21,2,9.38,3.06,1,11:20:43 PM,Delayed Sleep,3,7:31:09 AM,Regular Wakeup,2
35 - 44,1.0,Female,2.0,Canada,4,6,5,9,3,445.48,537.39,2,13.25,3.64,1,11:28:09 PM,Delayed Sleep,3,8:14:09 AM,Delayed Wakeup,3
15 - 24,0.0,Female,2.0,Netherlands,4,7,7,9,9,451.88,376.85,1,4.49,2.12,1,12:33:00 AM,Poor Sleep Time,4,7:59:51 AM,Regular Wakeup,2
15 - 24,0.0,Female,2.0,United States,8,9,10,10,9,458.17,456.45,2,32.55,5.71,1,12:18:34 AM,Poor Sleep Time,4,7:55:09 AM,Regular Wakeup,2
15 - 24,0.0,Female,2.0,France,5,7,4,8,9,473.16,411.92,1,0.0,0.0,0,3:09:00 AM,Poor Sleep Time,4,10:00:51 AM,Poor Wakeup,4
15 - 24,0.0,Female,2.0,India,6,6,5,6,8,473.75,430.89,2,0.17,0.41,1,3:26:43 AM,Poor Sleep Time,4,10:37:34 AM,Poor Wakeup,4
35 - 44,1.0,Female,2.0,Brazil,6,5,4,9,7,490.46,363.03,1,1.47,1.21,1,12:21:43 AM,Poor Sleep Time,4,6:25:09 AM,Early Wakup,1
25 - 34,1.0,Female,2.0,Australia,3,7,5,8,5,490.79,499.12,2,6.26,2.5,1,12:22:26 AM,Poor Sleep Time,4,8:41:43 AM,Delayed Wakeup,3
15 - 24,0.0,Female,2.0,Germany,4,8,7,3,9,492.55,491.45,2,0.0,0.0,0,11:30:51 PM,Delayed Sleep,3,7:42:09 AM,Regular Wakeup,2
25 - 34,1.0,Female,2.0,United States,8,4,6,9,10,496.83,413.92,1,14.4,3.79,1,12:17:43 AM,Poor Sleep Time,4,7:11:43 AM,Regular Wakeup,2
35 - 44,1.0,Female,2.0,United States,5,9,3,7,8,503.58,465.87,2,5.87,2.42,1,12:04:43 AM,Poor Sleep Time,4,7:50:51 AM,Regular Wakeup,2
35 - 44,1.0,Female,2.0,United Kingdom,3,8,6,9,10,507.1,416.1,1,16.39,4.05,1,12:08:26 AM,Poor Sleep Time,4,7:04:43 AM,Regular Wakeup,2
25 - 34,1.0,Female,2.0,United States,6,4,6,9,6,507.34,385.13,1,6.72,2.59,1,11:02:34 PM,Delayed Sleep,3,5:27:51 AM,Early Wakup,1
35 - 44,1.0,Female,2.0,United States,9,9,6,4,7,510.95,337.23,1,23.62,4.86,1,1:43:26 AM,Poor Sleep Time,4,7:20:34 AM,Regular Wakeup,2
25 - 34,1.0,Female,2.0,Canada,5,7,4,9,5,513.91,372.7,1,19.7,4.44,1,3:04:43 AM,Poor Sleep Time,4,9:17:26 AM,Poor Wakeup,4
15 - 24,0.0,Female,2.0,Sweden,4,8,6,8,10,514.7,524.11,2,3.7,1.92,1,11:06:26 PM,Delayed Sleep,3,7:50:26 AM,Regular Wakeup,2
25 - 34,1.0,Female,2.0,United States,7,7,9,4,9,518.4,376.69,1,4.63,2.15,1,12:16:26 AM,Poor Sleep Time,4,6:32:51 AM,Early Wakup,1
15 - 24,0.0,Female,2.0,Netherlands,5,8,8,5,10,558.27,492.03,2,5.61,2.37,1,1:31:43 AM,Poor Sleep Time,4,9:44:00 AM,Poor Wakeup,4
45 - 54,1.0,Female,2.0,United States,6,10,6,8,9,563.47,296.82,1,5.23,2.29,1,1:00:43 AM,Poor Sleep Time,4,5:57:26 AM,Early Wakup,1
25 - 34,1.0,Female,2.0,Brazil,6,8,5,6,7,564.29,389.95,1,7.58,2.75,1,2:38:17 AM,Poor Sleep Time,4,9:08:26 AM,Poor Wakeup,4
25 - 34,1.0,Female,2.0,United States,6,10,9,8,6,592.41,485.85,2,4.71,2.17,1,11:18:51 PM,Delayed Sleep,3,7:24:43 AM,Regular Wakeup,2
25 - 34,1.0,Female,2.0,Brazil,9,5,6,10,6,592.81,247.19,1,10.51,3.24,1,2:34:51 AM,Poor Sleep Time,4,6:41:51 AM,Early Wakup,1
25 - 34,1.0,Female,2.0,Brazil,6,3,4,7,7,594.79,431.38,2,22.0,4.69,1,12:28:26 AM,Poor Sleep Time,4,7:39:34 AM,Regular Wakeup,2
15 - 24,0.0,Female,2.0,India,6,2,3,6,7,640.91,319.32,1,3.29,1.81,1,3:46:00 AM,Poor Sleep Time,4,9:05:00 AM,Poor Wakeup,4
15 - 24,0.0,Female,2.0,United States,3,6,3,9,4,648.4,416.24,1,4.59,2.14,1,2:31:00 AM,Poor Sleep Time,4,9:27:26 AM,Poor Wakeup,4
25 - 34,1.0,Female,2.0,United States,4,7,6,9,6,663.99,393.43,1,16.1,4.01,1,11:52:17 PM,Delayed Sleep,3,6:26:00 AM,Early Wakup,1
15 - 24,0.0,Female,2.0,India,6,7,5,6,10,759.93,444.03,2,19.31,4.39,1,1:37:26 AM,Poor Sleep Time,4,9:01:34 AM,Poor Wakeup,4
15 - 24,0.0,Female,2.0,France,5,3,4,4,10,819.08,468.76,2,7.83,2.8,1,1:38:26 AM,Poor Sleep Time,4,9:27:26 AM,Poor Wakeup,4
15 - 24,0.0,Female,2.0,United States,3,7,4,10,8,866.64,384.62,1,33.68,5.8,1,12:36:17 AM,Poor Sleep Time,4,7:01:00 AM,Regular Wakeup,2
15 - 24,0.0,Other,3.0,United States,3,8,5,10,10,297.31,462.09,2,31.0,5.57,1,12:00:43 AM,Poor Sleep Time,4,7:43:00 AM,Regular Wakeup,2
15 - 24,0.0,Other,3.0,Germany,8,9,2,6,7,421.64,500.8,2,31.89,5.65,1,1:06:00 AM,Poor Sleep Time,4,9:27:00 AM,Poor Wakeup,4
15 - 24,0.0,Other,3.0,Netherlands,6,8,4,10,8,555.31,405.36,1,18.29,4.28,1,12:59:17 AM,Poor Sleep Time,4,7:44:34 AM,Regular Wakeup,2
15 - 24,0.0,Other,3.0,France,2,5,2,8,6,652.4,562.78,3,9.15,3.02,1,12:18:00 AM,Poor Sleep Time,4,9:40:51 AM,Poor Wakeup,4
25 - 34,1.0,Rather not say,4.0,Netherlands,7,6,6,8,9,180.07,521.49,2,9.4,3.07,1,10:47:17 PM,Regular Sleep,2,7:28:51 AM,Regular Wakeup,2
15 - 24,0.0,Other,3.0,United States,10,9,5,5,10,132.45,566.12,3,0.16,0.4,1,12:06:17 AM,Poor Sleep Time,4,9:32:17 AM,Poor Wakeup,4
35 - 44,1.0,Other,3.0,United States,9,7,6,6,6,274.87,483.55,2,0.0,0.0,0,10:46:00 PM,Regular Sleep,2,6:49:34 AM,Early Wakup,1
15 - 24,0.0,Rather not say,4.0,France,6,6,7,3,10,388.47,524.43,2,7.89,2.81,1,1:02:17 AM,Poor Sleep Time,4,9:47:09 AM,Poor Wakeup,4
